Date,Open,High,Low,Close,Adj Close,Volume
2022-01-12,79500,79600,78600,78900,73831.2890625,11000502
2022-01-13,79300,79300,77900,77900,72895.546875,13889401
2022-01-14,77700,78100,77100,77300,72334.0859375,10096725
2022-01-17,77600,77800,76900,77500,72521.234375,8785122
2022-01-18,77600,77800,76600,77000,72053.3515625,9592788
2022-01-19,76500,76900,76100,76300,71398.3203125,10598290
2022-01-20,76200,76700,75900,76500,71585.484375,9708168
2022-01-21,75800,75800,74700,75600,70743.296875,15774888
2022-01-24,75400,75800,74700,75100,70275.40625,13691134
2022-01-25,74800,75000,73200,74000,69246.078125,17766704
2022-01-26,74000,74000,74000,74000,69246.078125,0
2022-01-27,73800,74000,71300,71300,66719.5390625,22274777
2022-01-28,71300,73700,71200,73300,68591.0390625,21367447
2022-02-03,74900,74900,73300,73300,68591.0390625,17744721
2022-02-04,74300,74600,73400,74000,69246.078125,12730034
2022-02-07,73500,73600,72400,73000,68310.3203125,14240838
2022-02-08,73000,73000,73000,73000,68310.3203125,0
2022-02-09,73000,73000,73000,73000,68310.3203125,0
2022-02-10,75600,75800,74700,75400,70556.140625,17746033
2022-02-11,75000,75500,74600,74900,70088.25,12205407
2022-02-14,74400,74500,73100,73700,68965.3515625,13993255
2022-02-15,74100,74200,73100,73700,68965.3515625,9320365
2022-02-16,74600,74900,74200,74800,69994.6796875,10767386
2022-02-17,75000,75600,74500,75000,70181.828125,13605382
2022-02-18,74600,74800,73700,74300,69526.796875,10122226
2022-02-21,74300,74300,74300,74300,69526.796875,0
2022-02-22,74300,74300,74300,74300,69526.796875,0
2022-02-23,74300,74300,74300,74300,69526.796875,0
2022-02-24,72300,72300,71300,71500,66906.6796875,15759283
2022-02-25,72100,72600,71900,71900,67281,13168484
2022-02-28,71900,71900,71900,71900,67281,0
2022-03-02,72300,72400,71500,71700,67093.8359375,12481430
2022-03-03,72300,73100,72200,72900,68216.7421875,13232638
2022-03-04,72900,72900,72900,72900,68216.7421875,0
2022-03-07,70000,70600,69900,70100,65596.625,18617138
2022-03-08,68800,70000,68700,69500,65035.1796875,15828269
2022-03-10,69500,69500,69500,69500,65035.1796875,0
2022-03-11,70500,70700,69700,70000,65503.05078125,15787655
2022-03-14,70000,70200,69600,70200,65690.2109375,9040993
2022-03-15,70200,70200,70200,70200,65690.2109375,0
2022-03-16,70200,70500,69700,70400,65877.3359375,10175750
2022-03-17,70400,70400,70400,70400,65877.3359375,0
2022-03-18,70600,70900,70200,70700,66158.0703125,14410038
2022-03-21,70900,71000,69900,69900,65409.47265625,11169002
2022-03-22,69900,70500,69900,70300,65783.765625,9402666
2022-03-23,70600,71200,70300,70500,65970.9296875,12398025
2022-03-24,69600,70300,69600,69800,65315.88671875,37943357
2022-03-25,70100,70200,69600,69800,65315.88671875,12986010
2022-03-28,69500,69900,69200,69700,65222.3203125,12619289
2022-03-29,70000,70300,69800,70200,65690.2109375,13686208
2022-03-30,70300,70500,69800,69900,65747.5859375,12670187
2022-03-31,69900,70200,69600,69600,65465.40234375,12510366
2022-04-01,69500,69500,69000,69100,64995.1015625,15916846
2022-04-04,68900,69300,68600,69300,65183.21484375,11107905
2022-04-05,69400,69600,69100,69200,65089.16015625,8467248
2022-04-06,68600,68800,68500,68500,64430.73828125,15517308
2022-04-07,68500,68500,68000,68000,63960.453125,20683327
2022-04-08,68100,68300,67700,67800,63772.3359375,15453191
2022-04-11,67800,68100,67400,67900,63866.39453125,12263735
2022-04-12,67600,67700,67000,67000,63019.8515625,13924389
2022-04-13,67300,69000,67200,68700,64618.8515625,17378619
2022-04-14,68700,68700,67500,67500,63490.15234375,16409494
2022-04-15,67200,67300,66500,66600,62643.609375,13176415
2022-04-18,66500,67100,66100,66700,62737.66796875,10119203
2022-04-19,67100,68000,67000,67300,63302.03125,12959434
2022-04-20,67000,67400,66500,67400,63396.0859375,16693293
2022-04-21,67600,68300,67500,67700,63678.26953125,12847448
2022-04-22,67200,67300,66700,67000,63019.8515625,11791478
2022-04-25,66500,66700,66300,66300,62361.4296875,11016474
2022-04-26,66400,66700,66100,66100,62173.30859375,12946923
2022-04-27,65400,65500,64900,65000,61138.6640625,18122084
2022-04-28,65400,65500,64500,64800,60950.5390625,16895527
2022-04-29,65100,67600,65000,67400,63396.0859375,26190390
2022-05-02,66600,67600,66500,67300,63302.03125,14106184
2022-05-03,67400,68400,67300,67500,63490.15234375,14168875
2022-05-04,68000,68400,67500,67900,63866.39453125,11505248
2022-05-06,67000,67100,66500,66500,62549.54296875,14356156
2022-05-10,65900,66300,65300,65700,61797.078125,17235605
2022-05-11,65500,66300,65200,65700,61797.078125,12330920
2022-05-12,65200,65500,64900,64900,61044.59765625,16414188
2022-05-13,65300,66700,65200,66500,62549.54296875,14551536
2022-05-16,67100,67400,66100,66300,62361.4296875,11937555
2022-05-17,66600,67900,66600,67600,63584.1953125,15680447
2022-05-18,68300,68700,67600,68100,64054.50390625,16486319
2022-05-19,66500,67600,66500,67500,63490.15234375,17073727
2022-05-20,67800,68400,67700,68000,63960.453125,12109671
2022-05-23,68800,68800,67600,67900,63866.39453125,13684088
2022-05-24,67500,67700,66500,66500,62549.54296875,15482576
2022-05-25,66700,67100,65900,66400,62455.4921875,15150490
2022-05-26,66300,67200,65500,65900,61985.203125,15970890
2022-05-27,66700,66900,66200,66500,62549.54296875,11405555
2022-05-30,67500,67800,66900,67700,63678.26953125,14255484
2022-05-31,67500,67500,66700,67400,63396.0859375,24365002
2022-06-02,66600,67000,66400,66700,62737.66796875,14959443
2022-06-03,67200,67300,66800,66800,62831.73828125,8222883
2022-06-07,66200,66400,65400,65500,61608.95703125,19355755
2022-06-08,65400,65700,65300,65300,61420.83203125,12483180
2022-06-09,65100,65200,64500,65200,61326.7734375,25790725
2022-06-10,64000,64400,63800,63800,60009.94140625,22193552
2022-06-13,62400,62800,62100,62100,58410.9375,22157816
2022-06-14,61200,62200,61100,61900,58222.81640625,24606419
2022-06-15,61300,61500,60200,60700,57094.1015625,26811224
2022-06-16,61300,61800,60500,60900,57282.22265625,23394895
2022-06-17,59400,59900,59400,59800,56247.5703125,29053450
2022-06-20,59800,59900,58100,58700,55212.9140625,34111306
2022-06-21,58700,59200,58200,58500,55024.79296875,25148109
2022-06-22,59000,59100,57600,57600,54178.2578125,23334687
2022-06-23,57700,58000,56800,57400,53990.140625,28338608
2022-06-24,57900,59100,57700,58400,54930.734375,23256103
2022-06-27,59000,59900,58300,58800,55306.9765625,18122236
2022-06-28,59200,59500,58700,59400,55871.328125,13540538
2022-06-29,58500,58800,58000,58000,54888.07421875,14677138
2022-06-30,57200,57600,57000,57000,53941.734375,18915142
2022-07-01,56900,57500,55900,56200,53184.65625,24982097
2022-07-04,56100,57400,55700,57100,54036.36328125,17807126
2022-07-05,57600,58200,57200,57200,54131,14216539
2022-07-06,57300,57300,56400,56400,53373.92578125,16820461
2022-07-07,56400,58700,56300,58200,55077.3515625,21322833
2022-07-08,58600,59300,58200,58700,55550.5234375,15339271
2022-07-11,59300,59600,58700,58800,55645.15625,13042624
2022-07-12,58600,58700,58100,58100,54982.71875,9336061
2022-07-13,58300,58600,58000,58000,54888.07421875,10841315
2022-07-14,57500,58200,57400,57500,54414.8984375,15067012
2022-07-15,58400,60000,58100,60000,56780.7734375,18685583
2022-07-18,60600,62000,60500,61900,58578.828125,20832517
2022-07-19,61400,61500,60200,60900,57632.484375,15248261
2022-07-20,61800,62100,60500,60500,57253.94140625,16782238
2022-07-21,61100,61900,60700,61800,58484.1953125,12291374
2022-07-22,61800,62200,61200,61300,58011.0234375,10261310
2022-07-25,60900,61900,60800,61100,57821.75,9193681
2022-07-26,60800,61900,60800,61700,58389.55859375,6597211
2022-07-27,61300,61900,61200,61800,58484.1953125,7320997
2022-07-28,62300,62600,61600,61900,58578.828125,10745302
2022-07-29,62400,62600,61300,61400,58105.66015625,15093120
2022-08-01,61000,61700,60300,61300,58011.0234375,13154816
2022-08-02,61200,61900,61000,61700,58389.55859375,13614895
2022-08-03,61600,61600,61000,61300,58011.0234375,10053861
2022-08-04,61700,61800,61200,61500,58200.29296875,9125439
2022-08-05,61700,61900,61200,61500,58200.29296875,9567620
2022-08-08,61400,61400,60600,60800,57537.84765625,11313150
2022-08-09,60600,60700,59600,60000,56780.7734375,18251170
2022-08-10,58900,59200,58600,59100,55929.0625,18084349
2022-08-11,59600,60000,59300,59900,56686.13671875,15141941
2022-08-12,59500,60700,59400,60200,56970.04296875,10786658
2022-08-16,60500,61600,60300,61000,57727.12109375,15036727
2022-08-17,61100,61200,60300,60400,57159.3125,9061518
2022-08-18,60300,61900,60000,61500,58200.29296875,16372754
2022-08-19,61400,61600,60600,60900,57632.484375,6923679
2022-08-22,60300,60400,59800,60000,56780.7734375,8259865
2022-08-23,59000,59600,59000,59100,55929.0625,9041629
2022-08-24,59200,59500,59000,59000,55834.41796875,8888486
2022-08-25,59200,59700,59000,59700,56496.8671875,5767902
2022-08-26,60300,60900,59900,60000,56780.7734375,9499995
2022-08-29,58700,58900,58600,58600,55455.88671875,9841329
2022-08-30,58700,59000,58300,58800,55645.15625,9690044
2022-08-31,58200,59900,58200,59700,56496.8671875,14203512
2022-09-01,58700,58900,58300,58400,55266.61328125,14905777
2022-09-02,58300,58600,57500,57500,54414.8984375,15040310
2022-09-05,57400,57800,56800,57100,54036.36328125,11425977
2022-09-06,57200,57600,56900,57100,54036.36328125,7503086
2022-09-07,56700,56700,55900,56000,52995.390625,17384854
2022-09-08,56200,56400,55600,55600,52616.84765625,18000016
2022-09-13,57000,58500,56800,58100,54982.71875,17166581
2022-09-14,56200,57200,56100,56800,53752.45703125,12524961
2022-09-15,57000,57100,56000,56000,52995.390625,11664819
2022-09-16,55600,56400,55500,56200,53184.65625,13456503
2022-09-19,56300,57000,56000,56400,53373.92578125,12278653
2022-09-20,56400,57000,55800,55800,52806.109375,14041465
2022-09-21,55400,55500,55000,55300,52332.94140625,11863700
2022-09-22,54600,54700,54300,54400,51481.23046875,12786510
2022-09-23,54400,54900,54200,54500,51575.86328125,10555964
2022-09-26,53700,54200,53600,53900,51008.05859375,15008449
2022-09-27,53800,54200,53500,54200,51291.95703125,16631289
2022-09-28,53900,54400,52500,52900,50061.71484375,19991129
2022-09-29,53300,53700,52600,52600,50119.8359375,13882080
2022-09-30,52300,53600,51800,53100,50596.265625,22503249
2022-10-04,55300,55400,54500,55200,52597.2421875,19148435
2022-10-05,56900,57200,55400,56000,53359.5234375,22458970
2022-10-06,56700,57300,56300,56300,53645.375,14944446
2022-10-07,55900,56900,55200,56200,53550.08984375,16886813
2022-10-11,54400,55700,54000,55400,52787.8125,21437877
2022-10-12,55700,57000,55200,55800,53168.953125,18408910
2022-10-13,55400,56100,55200,55200,52597.2421875,13784602
2022-10-14,56200,56500,55800,56300,53645.375,12924326
2022-10-17,55800,57000,55700,56600,53931.234375,13641878
2022-10-18,56700,57100,55800,56500,53835.9453125,14820702
2022-10-19,56700,56900,55700,55800,53168.953125,12660652
2022-10-20,55200,56000,55100,55500,52883.09765625,17107653
2022-10-21,55100,56300,55100,55900,53264.234375,11456060
2022-10-24,57000,57500,56700,57500,54788.79296875,16944503
2022-10-25,57000,58600,57000,57700,54979.36328125,17405678
2022-10-26,58000,59600,57700,59400,56599.203125,20824967
2022-10-27,59700,60100,58900,59500,56694.4921875,21756712
2022-10-28,58900,59200,57200,57300,54598.22265625,20924937
2022-10-31,58100,59900,58000,59400,56599.203125,18999514
2022-11-01,59900,60300,59500,60000,57170.9140625,17201647
2022-11-02,59700,60000,59300,59600,56789.77734375,13202919
2022-11-03,58600,59800,58100,59200,56408.640625,17492162
2022-11-04,59100,59500,58400,59400,56599.203125,12445841
2022-11-07,59700,60300,59400,60200,57361.484375,12437246
2022-11-08,60500,61900,60500,61800,58886.04296875,18273898
2022-11-09,62000,62200,61300,62000,59076.609375,14045592
2022-11-10,61400,61500,60400,60400,57552.0546875,21087633
2022-11-11,63100,63200,62300,62900,59934.18359375,20037163
2022-11-14,62900,62900,61700,61900,58981.33203125,15973416
2022-11-15,62200,62500,61600,62400,59457.75,12310986
2022-11-16,62400,62700,61700,62700,59743.6015625,12909260
2022-11-17,62000,62000,61300,61400,58504.90234375,13298296
2022-11-18,61800,62400,61400,61800,58886.04296875,12236503
2022-11-21,61400,61800,60800,61400,58504.90234375,9378097
2022-11-22,60900,61200,60300,60600,57742.62109375,9411289
2022-11-23,61200,61300,60700,61000,58123.76171875,8765050
2022-11-24,61200,61700,60900,61400,58504.90234375,8125010
2022-11-25,61400,61700,60800,61000,58123.76171875,6677933
2022-11-28,60500,60500,59800,60100,57266.1953125,8589032
2022-11-29,59900,60600,59800,60600,57742.62109375,7014160
2022-11-30,60400,62200,60200,62200,59267.1796875,19768903
2022-12-01,63100,63200,62300,62600,59648.31640625,16631445
2022-12-02,62500,62500,60400,60400,57552.0546875,15331184
2022-12-05,60900,61100,60000,60300,57456.7734375,13767787
2022-12-06,59800,60100,59200,59200,56408.640625,13888300
2022-12-07,58800,59600,58500,58900,56122.77734375,12100662
2022-12-08,58700,59200,58600,59200,56408.640625,12986815
2022-12-09,59300,60600,59300,60400,57552.0546875,10529632
2022-12-12,59900,60000,59400,59500,56694.4921875,9036472
2022-12-13,59600,60300,59400,59700,56885.0625,9040873
2022-12-14,59800,60600,59800,60500,57647.33984375,8207485
2022-12-15,59800,60200,59300,59300,56503.921875,8716039
2022-12-16,58300,59500,58300,59500,56694.4921875,13033596
2022-12-19,59500,59900,59100,59500,56694.4921875,7696187
2022-12-20,59000,59100,58500,58600,55836.9296875,9284761
2022-12-21,58700,59100,58000,58000,55265.21484375,10356971
2022-12-22,58100,59100,58100,59100,56313.35546875,10720630
2022-12-23,58200,58400,57700,58100,55360.5078125,9829407
2022-12-26,58000,58100,57700,57900,55169.9375,6756411
2022-12-27,58000,58400,57900,58100,55360.5078125,10667027
2022-12-28,57600,57600,56400,56600,54268.42578125,14665410
2022-12-29,56000,56200,55300,55300,53021.9765625,11295935
2023-01-02,55500,56100,55200,55500,53213.73828125,10031448
2023-01-03,55400,56000,54500,55400,53117.85546875,13547030
2023-01-04,55700,58000,55600,57800,55418.98828125,20188071
2023-01-05,58200,58800,57600,58200,55802.51171875,15682826
2023-01-06,58300,59400,57900,59000,56569.55859375,17334989
2023-01-09,59700,60700,59600,60700,58199.53125,18640107
2023-01-10,60200,61100,59900,60400,57911.88671875,14859797
2023-01-11,61000,61200,60300,60500,58007.765625,12310751
2023-01-12,61100,61200,59900,60500,58007.765625,16102561
2023-01-13,60500,61200,60400,60800,58295.41015625,12510328
2023-01-16,61300,61600,60800,61100,58583.05078125,10039972
2023-01-17,61200,61500,60600,61000,58487.16796875,9831456
2023-01-18,60700,61000,59900,60400,57911.88671875,11584041
2023-01-19,60500,61500,60400,61500,58966.57421875,12808490
2023-01-20,62100,62300,61100,61800,59254.21484375,9646327
2023-01-25,63500,63700,63000,63300,60692.42578125,39217
2023-01-26,63800,63900,63300,63800,61171.82421875,54188
2023-01-27,64400,65000,63900,64600,61938.875,44282
2023-01-30,64900,64900,63100,63300,60692.42578125,59628
2023-01-31,63500,63700,61000,61400,58870.69140625,163847
2023-02-01,62600,62700,61000,61000,58487.16796875,98585
2023-02-02,63200,63900,62600,63500,60884.18359375,65992
2023-02-03,63900,64000,63000,63500,60884.18359375,47567
2023-02-06,62800,63000,61600,61600,59062.44921875,144104
2023-02-07,61900,62500,61600,62000,59445.97265625,32873
2023-02-08,62800,63300,62400,63100,60500.66015625,42558
2023-02-09,63000,63300,62300,63300,60692.42578125,48035
2023-02-10,62600,63000,62400,62900,60308.91015625,44786
2023-02-13,62900,63000,62300,62900,60308.91015625,59395
2023-02-14,63600,63900,63200,63200,60596.54296875,70606
2023-02-15,63900,63900,62000,62200,59637.734375,58370
2023-02-16,62500,63700,62400,63700,61075.94140625,41448
2023-02-17,62900,63300,62400,62600,60021.25390625,28613
2023-02-20,62900,63000,61800,62700,60117.13671875,29846
2023-02-21,62700,62800,62000,62100,59541.85546875,60971
2023-02-22,61500,61800,61000,61100,58583.05078125,39178
2023-02-23,61700,62500,61500,62000,59445.97265625,37145
2023-02-24,62300,62600,61300,61300,58774.81640625,50792
2023-02-27,60800,60800,60200,60500,58007.765625,11155697
2023-02-28,60800,61400,60500,60600,58103.64453125,13715861
2023-03-02,60900,61800,60500,60800,58295.41015625,13095682
2023-03-03,61000,61200,60500,60500,58007.765625,10711405
2023-03-06,61100,61600,60800,61500,58966.57421875,13630602
2023-03-07,61400,61400,60700,60700,58199.53125,11473280
2023-03-08,60100,60500,59900,60300,57816.0078125,14161857
2023-03-09,60500,60800,59900,60100,57624.23828125,14334499
2023-03-10,59500,59700,59100,59500,57048.9609375,11902471
2023-03-13,59900,60200,59300,60000,57528.36328125,12779724
2023-03-14,59400,59500,59000,59000,56569.55859375,12147346
2023-03-15,60000,60300,59600,59800,57336.6015625,10482149
2023-03-16,59200,60200,59100,59900,57432.48046875,10611939
2023-03-17,60800,61300,60600,61300,58774.81640625,14090110
2023-03-20,61100,61200,60200,60200,57720.125,9618009
2023-03-21,60500,60700,60100,60300,57816.0078125,8318514
2023-03-22,61000,61200,60500,61100,58583.05078125,8978591
2023-03-23,60600,62300,60600,62300,59733.6171875,15381057
2023-03-24,62700,63300,62300,63000,60404.78515625,18278602
2023-03-27,62600,62800,62000,62100,59541.85546875,11039331
2023-03-28,62400,62900,62100,62900,60308.91015625,11614118
2023-03-29,62500,62700,62200,62700,60117.13671875,11216008
2023-03-30,63700,63700,63100,63200,60947.44921875,15684377
2023-03-31,64000,64000,63700,64000,61718.94140625,14094479
2023-04-03,64000,64000,63000,63100,60851.015625,11973133
2023-04-04,63400,63800,62800,63600,61333.1953125,11120514
2023-04-05,63700,64000,63400,63900,61622.5,9176149
2023-04-06,63500,63600,62300,62300,60079.53125,14992747
2023-04-07,63800,65200,63800,65000,62683.296875,27476120
2023-04-10,64800,66300,64700,65700,63358.34765625,18777166
2023-04-11,66200,66200,65400,65900,63551.22265625,16323183
2023-04-12,65800,66200,65300,66000,63647.65625,15021313
2023-04-13,65600,66100,65400,66100,63744.09375,15091022
2023-04-14,66600,66600,65000,65100,62779.734375,16176490
2023-04-17,65000,65600,64700,65300,62972.60546875,13486618
2023-04-18,65900,66000,64800,65600,63261.9140625,14802060
2023-04-19,65500,65800,65300,65500,63165.48046875,10255985
2023-04-20,65100,65300,64600,65300,62972.60546875,9501169
2023-04-21,65800,65900,65400,65700,63358.34765625,10538622
2023-04-24,65300,65700,64800,65200,62876.16796875,12986581
2023-04-25,65300,65400,63400,63600,61333.1953125,16193271
2023-04-26,63600,64300,63300,64100,61815.37890625,12664541
2023-04-27,64100,65000,63300,64600,62297.55078125,14779601
2023-04-28,65200,65900,65000,65500,63165.48046875,19699481
2023-05-02,66000,66300,65100,65700,63358.34765625,14396948
2023-05-03,65100,65600,64900,65400,63069.04296875,8876749
2023-05-04,65600,65700,64700,65100,62779.734375,9791064
2023-05-08,66300,66300,65400,65900,63551.22265625,9405365
2023-05-09,65800,65800,65100,65300,62972.60546875,9366861
2023-05-10,65500,65500,64300,64600,62297.55078125,13057727
2023-05-11,64700,65100,64200,64200,61911.8125,11648905
2023-05-12,63700,64600,63600,64100,61815.37890625,8693913
2023-05-15,64100,64600,63900,64500,62201.12109375,8172021
2023-05-16,65800,65900,65300,65400,63069.04296875,12334657
2023-05-17,65900,65900,64800,65000,62683.296875,10745504
2023-05-18,66000,66200,65700,66200,63840.52734375,14431704
2023-05-19,67800,68400,67500,68400,65962.109375,20349345
2023-05-22,68400,69000,68000,68500,66058.546875,14470308
2023-05-23,68500,68700,68100,68400,65962.109375,8561643
2023-05-24,68100,68700,68000,68500,66058.546875,8192896
2023-05-25,69900,70000,68700,68800,66347.8671875,14231160
2023-05-26,69800,70400,69500,70300,67794.40625,19549511
2023-05-30,71300,72300,71200,72300,69723.1171875,27476897
2023-05-31,72400,72500,71000,71400,68855.1875,25666087
2023-06-01,70900,71600,70600,70900,68373.0078125,14669296
2023-06-02,71700,72200,71600,72200,69626.6796875,12161798
2023-06-05,72700,72700,71400,71700,69144.4921875,12686829
2023-06-07,71300,71600,70800,71000,68469.453125,14796613
2023-06-08,70400,70900,70000,70900,68373.0078125,19165568
2023-06-09,71100,72300,70800,72000,69433.8125,15050209
2023-06-12,72100,72400,70800,71000,68469.453125,12064287
2023-06-13,71700,72200,71600,72000,69433.8125,13227285
2023-06-14,72100,72200,71100,71900,69337.3671875,12541046
2023-06-15,72100,72300,71300,71500,68951.6171875,13614994
2023-06-16,71800,71900,70900,71800,69240.9375,15373696
2023-06-19,71300,71700,70900,71200,68662.3203125,11100887
2023-06-20,70700,71400,70400,71400,68855.1875,11557883
2023-06-21,70700,71200,70400,70500,67987.2734375,10626603
2023-06-22,70200,71500,70100,71300,68758.75,11411007
2023-06-23,72000,72200,71600,71600,69048.0625,12329484
2023-06-26,71700,72500,71500,72400,69819.5546875,10541901
2023-06-27,72500,72600,72000,72600,70012.4140625,9442997
2023-06-28,72600,72700,72000,72700,70108.859375,8783093
2023-06-29,73100,73400,72400,72400,70167.9765625,12229967
2023-06-30,72500,72700,71700,72200,69974.1484375,11694765
2023-07-03,72700,73200,72600,73000,70749.484375,10722181
2023-07-04,73400,73600,72900,73000,70749.484375,10214350
2023-07-05,73000,73300,71900,72000,69780.3046875,12310610
2023-07-06,71900,72400,71500,71600,69392.640625,14777667
2023-07-07,71100,71400,69800,69900,67745.046875,17308877
2023-07-10,70000,70400,69200,69500,67357.375,11713926
2023-07-11,70200,71500,70100,71500,69295.71875,12177392
2023-07-12,71200,72000,71100,71900,69683.390625,10375581
2023-07-13,72400,72600,71900,71900,69683.390625,14417279
2023-07-14,72500,73400,72400,73400,71137.140625,15882519
2023-07-17,73200,73500,72800,73300,71040.2265625,10060049
2023-07-18,73200,73500,72000,72000,69780.3046875,11697900
2023-07-19,72700,72800,71300,71700,69489.546875,10896412
2023-07-20,71100,71500,70800,71000,68811.1484375,9732730
